season,date,time,fpl_game_week
2018-2019,10/08/2018,20:00:00,1
2018-2019,11/08/2018,12:30:00,1
2018-2019,11/08/2018,15:00:00,1
2018-2019,11/08/2018,17:30:00,1
2018-2019,12/08/2018,13:30:00,1
2018-2019,12/08/2018,16:00:00,1
2018-2019,18/08/2018,12:30:00,2
2018-2019,18/08/2018,15:00:00,2
2018-2019,18/08/2018,17:30:00,2
2018-2019,19/08/2018,13:30:00,2
2018-2019,19/08/2018,16:00:00,2
2018-2019,20/08/2018,20:00:00,2
2018-2019,25/08/2018,12:30:00,3
2018-2019,25/08/2018,15:00:00,3
2018-2019,25/08/2018,17:30:00,3
2018-2019,26/08/2018,13:30:00,3
2018-2019,26/08/2018,16:00:00,3
2018-2019,27/08/2018,20:00:00,3
2018-2019,01/09/2018,12:30:00,4
2018-2019,01/09/2018,15:00:00,4
2018-2019,01/09/2018,17:30:00,4
2018-2019,02/09/2018,13:30:00,4
2018-2019,02/09/2018,16:00:00,4
2018-2019,15/09/2018,12:30:00,5
2018-2019,15/09/2018,15:00:00,5
2018-2019,15/09/2018,17:30:00,5
2018-2019,16/09/2018,13:30:00,5
2018-2019,16/09/2018,16:00:00,5
2018-2019,17/09/2018,20:00:00,5
2018-2019,22/09/2018,12:30:00,6
2018-2019,22/09/2018,15:00:00,6
2018-2019,22/09/2018,17:30:00,6
2018-2019,23/09/2018,13:30:00,6
2018-2019,23/09/2018,16:00:00,6
2018-2019,29/09/2018,12:30:00,7
2018-2019,29/09/2018,15:00:00,7
2018-2019,29/09/2018,17:30:00,7
2018-2019,30/09/2018,16:00:00,7
2018-2019,01/10/2018,20:00:00,7
2018-2019,05/10/2018,20:00:00,8
2018-2019,06/10/2018,15:00:00,8
2018-2019,06/10/2018,17:30:00,8
2018-2019,07/10/2018,12:00:00,8
2018-2019,07/10/2018,14:15:00,8
2018-2019,07/10/2018,16:30:00,8
2018-2019,20/10/2018,12:30:00,9
2018-2019,20/10/2018,15:00:00,9
2018-2019,20/10/2018,17:30:00,9
2018-2019,21/10/2018,16:00:00,9
2018-2019,22/10/2018,20:00:00,9
2018-2019,27/10/2018,15:00:00,10
2018-2019,27/10/2018,17:30:00,10
2018-2019,28/10/2018,13:30:00,10
2018-2019,28/10/2018,16:00:00,10
2018-2019,29/10/2018,20:00:00,10
2018-2019,03/11/2018,12:30:00,11
2018-2019,03/11/2018,15:00:00,11
2018-2019,03/11/2018,17:30:00,11
2018-2019,03/11/2018,19:45:00,11
2018-2019,04/11/2018,15:00:00,11
2018-2019,04/11/2018,16:00:00,11
2018-2019,05/11/2018,20:00:00,11
2018-2019,10/11/2018,12:30:00,12
2018-2019,10/11/2018,15:00:00,12
2018-2019,10/11/2018,17:30:00,12
2018-2019,11/11/2018,12:00:00,12
2018-2019,11/11/2018,14:15:00,12
2018-2019,11/11/2018,16:30:00,12
2018-2019,24/11/2018,15:00:00,13
2018-2019,24/11/2018,17:30:00,13
2018-2019,25/11/2018,13:30:00,13
2018-2019,25/11/2018,16:00:00,13
2018-2019,26/11/2018,20:30:00,13
2018-2019,30/11/2018,20:00:00,14
2018-2019,01/12/2018,15:00:00,14
2018-2019,01/12/2018,17:30:00,14
2018-2019,02/12/2018,12:00:00,14
2018-2019,02/12/2018,14:05:00,14
2018-2019,02/12/2018,16:15:00,14
2018-2019,04/12/2018,19:45:00,15
2018-2019,04/12/2018,20:00:00,15
2018-2019,05/12/2018,19:45:00,15
2018-2019,05/12/2018,20:00:00,15
2018-2019,08/12/2018,12:30:00,16
2018-2019,08/12/2018,15:00:00,16
2018-2019,08/12/2018,17:30:00,16
2018-2019,08/12/2018,19:45:00,16
2018-2019,09/12/2018,16:00:00,16
2018-2019,10/12/2018,20:00:00,16
2018-2019,15/12/2018,12:30:00,17
2018-2019,15/12/2018,15:00:00,17
2018-2019,15/12/2018,17:30:00,17
